Sat May 14 18:11:30 CDT 2016 DataR12S3p9T0Apr_27_1551.root 
Sat May 14 18:11:52 CDT 2016 DataR12S4p0T0Apr_27_1656.root 
Sat May 14 18:12:15 CDT 2016 DataR12S4p10T0Apr_27_1739.root 
Sat May 14 18:12:37 CDT 2016 DataR12S4p11T0Apr_27_1743.root 
Sat May 14 18:12:59 CDT 2016 DataR12S4p12T0Apr_27_1747.root 
Sat May 14 18:13:21 CDT 2016 DataR12S4p13T0Apr_27_1751.root 
Sat May 14 18:13:43 CDT 2016 DataR12S4p14T0Apr_27_1756.root 
Sat May 14 18:14:06 CDT 2016 DataR12S4p15T0Apr_27_1800.root 
Sat May 14 18:14:28 CDT 2016 DataR12S4p16T0Apr_27_1804.root 
Sat May 14 18:14:53 CDT 2016 DataR12S4p17T0Apr_27_1808.root 
Sat May 14 18:15:15 CDT 2016 DataR12S4p18T0Apr_27_1813.root 
Sat May 14 18:15:53 CDT 2016 DataR12S4p19T0Apr_27_1817.root 
Sat May 14 18:16:16 CDT 2016 DataR12S4p1T0Apr_27_1700.root 
Sat May 14 18:16:41 CDT 2016 DataR12S4p20T0Apr_27_1820.root 
Sat May 14 18:17:13 CDT 2016 DataR12S4p2T0Apr_27_1704.root 
Sat May 14 18:17:35 CDT 2016 DataR12S4p3T0Apr_27_1709.root 
Sat May 14 18:17:57 CDT 2016 DataR12S4p4T0Apr_27_1713.root 
Sat May 14 18:18:18 CDT 2016 DataR12S4p5T0Apr_27_1717.root 
Sat May 14 18:18:41 CDT 2016 DataR12S4p6T0Apr_27_1721.root 
Sat May 14 18:19:03 CDT 2016 DataR12S4p7T0Apr_27_1726.root 
Sat May 14 18:19:26 CDT 2016 DataR12S4p8T0Apr_27_1730.root 
Sat May 14 18:19:48 CDT 2016 DataR12S4p9T0Apr_27_1734.root 
Sat May 14 18:20:10 CDT 2016 DataR12S5p0T0Apr_28_1041.root 
Sat May 14 18:20:33 CDT 2016 DataR12S5p10T0Apr_28_1124.root 
Sat May 14 18:20:56 CDT 2016 DataR12S5p11T0Apr_28_1128.root 
Sat May 14 18:21:19 CDT 2016 DataR12S5p12T0Apr_28_1132.root 
Sat May 14 18:21:42 CDT 2016 DataR12S5p13T0Apr_28_1137.root 
Sat May 14 18:22:05 CDT 2016 DataR12S5p14T0Apr_28_1141.root 
Sat May 14 18:22:28 CDT 2016 DataR12S5p15T0Apr_28_1145.root 
Sat May 14 18:22:51 CDT 2016 DataR12S5p16T0Apr_28_1150.root 
